"report-file-0"
"Iteration" "mass_in etc.."
("Iteration" "mass_in" "mass-balance" "pressure_min")
128 0.2742072633820841 -3.307174208626332 -23891.16210173664
129 0.2753889815854323 -3.336825647228357 -24097.01057029797
130 0.2767375819428252 -3.357740989213416 -24279.71852257948
131 0.2782423653169805 -3.370162658983408 -24437.64335497906
132 0.2798926247435072 -3.374689085043693 -24567.50420520246
133 0.2816769346723357 -3.371762307282968 -24671.02453010197
134 0.2835681356268962 -3.361741308877915 -24756.60616445512
135 0.2856124020600254 -3.345083593931225 -24821.94969272127
136 0.2876758375191173 -3.322549249602294 -24863.37187181467
137 0.2897943132171403 -3.294505357861035 -24898.33397488906
138 0.2919381091792766 -3.261348462795153 -24903.88732775204
139 0.2942239393073292 -3.223415679604142 -24887.35361632705
140 0.2964153513515029 -3.181515029704 -24846.12533607448
141 0.2987453583814195 -3.135777722666525 -24770.99201505631
142 0.3011038285176038 -3.086599999322066 -24682.01213521451
143 0.3034944381113521 -3.034376437806035 -24568.99956563614
144 0.3059605164223899 -2.97967022676962 -24428.89771335817
145 0.3084366395454098 -2.922864822489771 -24269.89625695397
146 0.3108976333771039 -2.864237996476978 -24089.00311289083
147 0.3133338138896762 -2.803901011988405 -23891.85663715671
148 0.3157382429223284 -2.742176187317827 -23680.10678121258
149 0.3181045494799242 -2.679275877524075 -23448.8925340012
150 0.3204267451929815 -2.615509629578728 -23200.70129658189
151 0.3226831124286483 -2.551047073164664 -22937.28157818196
152 0.3248982793995451 -2.48600757955925 -22659.74254639007
153 0.3270622515243714 -2.420472017866803 -22370.55138559104
154 0.3291677778419003 -2.354639708240127 -22067.04265227841
155 0.3312096302454778 -2.288782060115073 -21748.63823036634
156 0.3331841332434014 -2.222842504530042 -21505.68010910725
157 0.335088843403839 -2.156980623109133 -21278.11916203119
158 0.336922311175912 -2.090884502354826 -21047.68974815301
159 0.3386838886360629 -2.025027412002598 -20811.54785474886
160 0.3403735715726649 -1.959313865838164 -20568.7076972664
161 0.3419918611380257 -1.893763252485169 -20317.81966098465
162 0.3435377658633856 -1.829172826365657 -19616.34382681849
163 0.3450049012598301 -1.763885560875223 -19020.10723872166
164 0.3463934175357476 -1.698823666676611 -18466.14136708665
165 0.3477021433771759 -1.634063980698783 -18000.30453342706
166 0.3489328512414955 -1.569644484063093 -17696.94056288099
167 0.350090045255774 -1.505623699031746 -17393.92690921488
168 0.3511656317085851 -1.442050220747882 -17083.14541146548
169 0.352157563810823 -1.379013910946469 -16755.65840042189
170 0.3530632684040583 -1.316582124273021 -16410.43446977768
171 0.3538811370811798 -1.254830988643782 -16156.38824206553
172 0.354610007041222 -1.193868876033026 -16075.23243574343
173 0.3552491551221487 -1.13376958835771 -15946.6790898191
174 0.3557982882156415 -1.074625969799062 -15764.86819260028
175 0.3562575979269707 -1.016493769683284 -15521.73779620926
176 0.3566278607506321 -0.9594393772940311 -15594.88773361962
177 0.3569104363443811 -0.9035269562560129 -15605.08048279374
178 0.3571072911687994 -0.8488034173206962 -15512.37780072146
179 0.357220978269519 -0.7953190099571295 -15415.89379491074
180 0.3572545871849707 -0.7430744141879726 -15587.53356015945
181 0.357223220250044 -0.6920761238227575 -15605.20108168437
182 0.3571174041986033 -0.6423589689821384 -15477.22384731175
183 0.3569425757019045 -0.5939306555761082 -15670.51746319873
184 0.3567023769529574 -0.5467990905232922 -15754.65668520834
185 0.3564021355259095 -0.500969416622121 -15660.75300232035
186 0.356047635513335 -0.4564666951666992 -15810.3030477074
187 0.3556447702042684 -0.4132939144801233 -15910.57140124242
188 0.3551994403037978 -0.3714445769991765 -15826.92828552939
189 0.3547174757787249 -0.3309100040424723 -15972.96103709573
190 0.3542045850506337 -0.2916764558404757 -16049.04384968331
191 0.3536663218188759 -0.2537312598080912 -15944.7454233438
192 0.3531080531980112 -0.2170644409542135 -16124.99128346048
193 0.3525349089249766 -0.1816677181978336 -16172.97669364369
194 0.3519517720193677 -0.1475317235737155 -16116.01784805815
195 0.3513653718185321 -0.1146433443089814 -16323.16301897405
196 0.3507790958676288 -0.08299212378140003 -16330.72641550344
197 0.3501934917957233 -0.0525605869640986 -16500.56606537726
198 0.3496137429116615 -0.02333715527816693 -16644.6119851512
199 0.3490430449499286 0.004698418136261817 -16764.03135945496
200 0.3484845260699608 0.0315595201471669 -17028.05714812863
201 0.3479409772566714 0.05726753467458456 -17159.12367306447
202 0.3474148093321958 0.08183848539541039 -17534.03934491937
203 0.34690805995539 0.1052940541805324 -17708.28635959194
204 0.3464224365287127 0.1276543610819617 -18172.0046256355
205 0.3459593290983372 0.1489364701029893 -18427.20645920467
206 0.3455198435452377 0.1691666193179635 -18951.13509082041
207 0.3451048183493298 0.1883650020454544 -19277.20221113652
208 0.3447167036660916 0.2066239277493425 -20860.6162322335
209 0.344348338393041 0.2237694690184769 -20904.0494508119
210 0.3440083427767622 0.2400026890091702 -21362.17237361216
211 0.3436941501897041 0.2552992565285372 -21656.49983673849
212 0.3434054994957315 0.2696869248631959 -22215.33167900735
213 0.343142792138558 0.2832224631663442 -23604.80433389684
214 0.3428993463018922 0.2958747317596594 -25054.09784050184
215 0.3426753076545003 0.307631813570897 -24970.85827564864
216 0.3424796376642641 0.3186754146114963 -26412.62687227392
217 0.3423012249740027 0.3289053260954107 -27410.78223196837
218 0.3421411129219015 0.3384028384469486 -28556.54900676078
219 0.3419987189711732 0.3472155833735576 -29414.29080384729
220 0.341873175655063 0.3553639990101601 -30397.74802987603
221 0.3417635416236919 0.3629199941128277 -31198.3802057206
222 0.3416688597647717 0.369885377969024 -32024.21384484448
223 0.3415881856082456 0.3761450601110728 -32789.26795813702
224 0.3415206089415204 0.3818175754135164 -33401.81050403875
225 0.341456359304616 0.3868734775746767 -34181.52182378268
226 0.3414087260517861 0.3914331667316079 -34736.92836044737
227 0.3413720408759611 0.3955300543111622 -35661.33560266632
228 0.341346119712824 0.3991792710175992 -36186.50852344157
229 0.3413303844377035 0.4023930083254742 -36978.92542133591
230 0.341324204363017 0.4052760386577747 -37632.82171563176
231 0.341326967675603 0.4078039849826433 -38183.57454985906
232 0.3413381022284283 0.4100561887426153 -38889.07551091106
233 0.3413570289736195 0.4119827776556493 -39327.51837900501
234 0.341383308587784 0.413647300982964 -40132.72788767447
235 0.3414165292951122 0.4150776654164933 -40645.53288082781
236 0.3414562920734823 0.4162855584709862 -41340.63220371836
237 0.3415022229386576 0.417298438689845 -41970.10073929591
238 0.3415539747391351 0.4181326835362842 -42561.69150456125
239 0.3416112232208237 0.4188062942626714 -43294.53777146817
240 0.3416736623820487 0.4193318339535833 -43778.52463963995
241 0.3417409988883764 0.419732304091215 -44640.75065132416
242 0.341812949329479 0.4200215095547337 -45206.68957870803
243 0.341889235469872 0.4202093752452337 -46000.40972013563
244 0.3419695813738438 0.4203094558503724 -46664.65040802392
245 0.3420498196208454 0.4203278471741564 -47303.28245068959
246 0.3421327149369101 0.4202761234547258 -48071.02670444411
247 0.3422178704020777 0.4201619494933643 -48579.51410115523
248 0.3423085960743 0.4199960099085589 -49352.65087594598
249 0.3424021774512468 0.4197800299500616 -49962.31137205785
250 0.3424986893598534 0.4195188556237505 -50444.26865995077
251 0.3425949879017142 0.4192129462526438 -51167.92370117758
252 0.3426959769674605 0.418869733231598 -51675.13159101265
253 0.342799003886719 0.418487429148319 -52179.32493039476
254 0.3429038874385388 0.4180676485806497 -52860.54161042086
255 0.3430103146823424 0.4176102546961741 -53335.56030549562
256 0.3431179217946675 0.4171135835208761 -53962.87859641496
257 0.3432263247577352 0.416576846970765 -54538.46792750846
258 0.3433351371701813 0.415997295272649 -55003.30929127707
259 0.3434439811846047 0.4153713171160386 -55717.86536614787
260 0.3435524938878778 0.4146982740635517 -56224.02704148675
261 0.3436574482968051 0.4139777464407303 -56049.49241864072
262 0.3437674965817906 0.4131960375308441 -56912.69527490727
263 0.343871475741099 0.4123606851538838 -56782.65723033445
264 0.3439793217970116 0.4114582762761908 -57868.98219320396
265 0.3440805466086664 0.4104937124546728 -57816.07114019926
266 0.3441824226843401 0.4094585557244604 -58065.634678578
267 0.3442827184611409 0.4083477800637755 -58445.24844651735
268 0.3443809750449063 0.4071606825599933 -58717.40074540002
269 0.344476916384829 0.4058908620268438 -59186.72235377986
270 0.3445702980637087 0.4045359492003636 -59694.97373189965
271 0.3446608798078664 0.4030948682371456 -60099.8002288924
272 0.3447484182787919 0.4015611654352621 -60657.15788620325
273 0.3448326665932067 0.3999332445655492 -61223.51916362954
274 0.3449133774569602 0.3982088743731713 -61698.73166158124
275 0.3449903076051104 0.3963882931446465 -62225.76483057592
276 0.3450632238718468 0.3944656395708349 -62831.4918494705
277 0.3451319070780126 0.3924408691526686 -63322.0977079051
278 0.3451961578233878 0.3903134701694586 -63768.9151179168
279 0.3452558003446239 0.3880829881636304 -64407.32101743586
280 0.3453106858120456 0.3857494246074279 -64947.25558143592
281 0.3453606965008101 0.3833131880978852 -65391.84506664434
282 0.3454057466651246 0.3807751836245475 -65965.00626459486
283 0.3454457845158989 0.3781367548181349 -66543.29407413947
284 0.3454842432077746 0.3754012413598243 -67602.92424789353
285 0.3455129793760593 0.3725661522943655 -67937.48451602085
286 0.3455418404805923 0.3696410940282928 -69055.1133507108
287 0.3455613859456781 0.3666265840835781 -69337.91542470438
288 0.3455778355721126 0.3635242215822382 -69614.31696848394
289 0.3455936084000711 0.3603415024154895 -70699.47962301539
290 0.3456005731319292 0.3570831906950931 -70994.68345670555
291 0.3456084124494871 0.353750473603757 -71822.61549286792
292 0.3456116915893113 0.3503545076914699 -72852.53126775329
293 0.3456079314218339 0.3469039094208881 -73114.2025413419
294 0.3456059523047147 0.3433946294932103 -73959.4837437114
295 0.3456002093183939 0.3398398743669925 -74902.03064874724
296 0.3455918256107335 0.3362500121965841 -75807.00914419329
297 0.3455777438713924 0.3326350976285887 -75837.93386556
298 0.3455663133441658 0.3289846692915249 -76626.75332015876
299 0.3455487815015592 0.3253318143421996 -76839.03838344278
300 0.3455307745599068 0.3216661671587111 -77082.49759385244
301 0.3455113063521736 0.3179999251899172 -77270.20966733898
302 0.3454903327508299 0.3143430290583713 -77505.004911645
303 0.3454681067341654 0.3107037235328866 -77896.05362721122
304 0.3454443900059346 0.3070906279819383 -78237.64141559605
305 0.3454193344665719 0.3035139960297648 -78502.56190485044
306 0.3453931577289044 0.2999826139090772 -78992.17936300999
307 0.3453656566362514 0.2965042266628494 -79454.54666251439
308 0.3453371913161087 0.2930862164447798 -79846.7687327294
309 0.3453077615429885 0.2897353397170219 -80291.98672748628
310 0.3452773289064747 0.2864580732923824 -80863.50944901319
311 0.3452460954775698 0.2832610376328876 -81348.69050844162
312 0.3452167094382587 0.2801469165336868 -82357.56571664754
313 0.3451830597243201 0.2771326220285199 -82845.55271427966
314 0.345152725151927 0.2742108344177873 -83927.51698365941
315 0.345118652869625 0.2713961753026671 -84160.59301422935
316 0.345088255987582 0.2686837126159903 -85386.19484094415
317 0.345054572528295 0.2660900769065205 -85727.84971228926
318 0.3450248389222473 0.2636053180785424 -86726.85460551418
319 0.3449922421994235 0.2612481154059833 -86841.66057268044
320 0.3449615823410794 0.2590100586292783 -87266.13581757975
321 0.3449341560318942 0.2568913876315151 -88219.25015830967
322 0.3449043190251903 0.2549135095658717 -88338.45470107862
323 0.3448767191868906 0.2530591396989696 -88681.90246664696
324 0.3448505107761379 0.2513356480816881 -89092.72880789674
325 0.3448256331262558 0.2497440978401098 -89449.50076940336
326 0.344802108740251 0.2482846719133908 -89794.73172932296
327 0.3447799702244904 0.2469572788651628 -90337.5095964073
328 0.3447592453300182 0.2457613315160248 -90794.7949875022
329 0.3447399540551533 0.2446957806298388 -91180.56189408028
330 0.3447221085554229 0.2437599452242486 -91736.07729577685
331 0.3447073839127216 0.2429379038888724 -92848.52782899965
332 0.3446910300258227 0.2422684104571141 -93175.45634998519
333 0.3446788034793168 0.241698200500305 -94088.57520512033
334 0.3446668806860189 0.2412590543493403 -94917.47564780613
335 0.3446559110863495 0.2409422571036147 -95568.41185406696
336 0.3446460141228928 0.2407434368060264 -96061.57479036438
337 0.3446371962881087 0.2406596402856547 -96553.89627647091
338 0.3446275935754672 0.2407038547348168 -96641.29787138599
339 0.3446205385566801 0.2408434971207148 -96706.10865600184
340 0.3446148930178816 0.2410880647034059 -96691.18303056012
341 0.3446104306892994 0.2414364708418238 -96606.07440982605
342 0.3446070655177031 0.2418864589227951 -96421.08593212032
343 0.3446047523445188 0.2424355564386421 -96140.74869131752
344 0.3446034616298594 0.2430814252367862 -95737.53482195595
345 0.3446031698849887 0.2438217326692929 -95211.99698594648
346 0.3446038546230776 0.2446542564566528 -94567.49104479772
347 0.3446054504101361 0.2455768104553064 -93976.15954925717
348 0.3446079570311041 0.2465873472638579 -93187.05922709145
349 0.3446113473593004 0.2476838960381532 -92325.3888674983
350 0.3446155879093266 0.2488646532904449 -91461.58080136501
351 0.3446206352091092 0.2501276974335938 -90462.98516510734
352 0.3446263933933904 0.2514713380904741 -89432.77550096468
353 0.3446328449356535 0.2528940053152545 -88461.48238136852
354 0.3446399320379689 0.2543941733332059 -87475.7710014241
355 0.3446475967615603 0.255970349787075 -86519.80722273585
356 0.344655775019075 0.2576210709325444 -85453.14490341902
357 0.3446643983089697 0.2593449132013332 -84513.16940055306
358 0.3446733965030582 0.2611404498701972 -83284.70295139936
359 0.3446826991563344 0.2630062534085347 -82336.38182783782
360 0.3446922365785349 0.2649408247495195 -81196.58223993125
